pattern,max_agreement,max_agreement_expected,threhsold1_max_agreement,threhsold2_max_agreement,max_difference,max_difference_agreemnt,max_difference_expected,threhsold1_max_diffrence,threhsold2_max_diffrence,min_difference,min_difference_agreemnt,min_difference_expected,threhsold1_min_diffrence,threhsold2_min_diffrence,max_lift
population_density_on_land_2010_household_density_on_land_2010,1,0.000840542,267,111,0.999159458,1,0.000840542,267,111,0.016415585,0.022899364,0.00648378,414.4,4.3,3784.969399
avg_precipitation_for_county_household_density_on_land_2010,0.720248755,0.206598005,3,4.3,0.519618031,0.710003947,0.190385916,3,6.6,0.000899544,0.002317192,0.001417649,5,138,9.066641505
avg_precipitation_for_county_population_density_on_land_2010,0.712249491,0.206576684,3,10.1,0.505672807,0.712249491,0.206576684,3,10.1,0.000874127,0.003432815,0.002558687,5,201,9.194705401
PctEmpManufacturing_population_density_on_land_2010,0.638424961,0.245556057,6,10.1,0.412561083,0.637969032,0.225407949,7,10.1,-0.000681985,0,0.000681985,19,345,21.5556923
PctEmpManufacturing_household_density_on_land_2010,0.638276769,0.245581401,6,4.3,0.407233224,0.615509659,0.208276436,7,6.1,-0.000630179,0,0.000630179,19,150,20.55409216
avg_precipitation_for_county_PctEmpManufacturing,0.628366573,0.186736312,3,7,0.441630261,0.628366573,0.186736312,3,7,0.012328779,0.014615338,0.002286559,4,24,48.8420375
PctEmpFIRE_PctEmpConstruction,0.571519763,0.435381951,3,5,0.152111908,0.283863102,0.131751194,4,6,-0.000184841,0,0.000184841,7,11,21.72111083
PctEmpTrade_household_density_on_land_2010,0.560820984,0.252203265,12,4.3,0.312306329,0.539402627,0.227096298,12,5.1,-0.000223288,0,0.000223288,17,121,35.48859871
povertyRate_covid_death_density,0.554722855,0.269589857,12,0.002874389,0.33130508,0.448607121,0.117302042,15,0.003337062,0.009932728,0.013884106,0.003951379,31,0.002874389,1197.474528
PctEmpTrans_PctEmpConstruction,0.545492985,0.432914646,4,5,0.132428847,0.203438856,0.071010008,5,7,-0.000183198,0,0.000183198,9,11,154.8270521
bachelor_degree_density_2014_2018_medianHouseHoldIncome,0.540590209,0.258801842,16,44500,0.299813891,0.519758805,0.219944914,16,46681,0.009036092,0.014265421,0.005229329,39,44774,873.8254268
avg_temp_for_county_covid_death_density,0.53852364,0.247291606,50,0.002874389,0.291809913,0.515340944,0.223531032,50,0.003077627,-0.000688274,0,0.000688274,68,0.006880734,42.94592981
UnempRate2018_povertyRate,0.536415183,0.171133792,4,13,0.36774109,0.511620622,0.143879532,4,14,0.017753364,0.020707273,0.002953909,4,31,182.1995964
PctEmpTrade_population_density_on_land_2010,0.535189648,0.252177238,12,10.1,0.314563383,0.53341822,0.218854837,12,12.5,-0.000195496,0,0.000195496,17,345,34.9004104
avg_temp_for_county_povertyRate,0.518783608,0.267000339,50,12,0.295203974,0.407549931,0.112345957,55,15,-0.000376501,0,0.000376501,68,31,269.7156455
avg_temp_for_county_population_density_on_land_2010,0.514726383,0.247126715,50,10.1,0.285129569,0.467115599,0.18198603,52,16.2,0.002741542,0.003919264,0.001177722,66,414.4,148.5134732
PctEmpFIRE_household_density_on_land_2010,0.512961497,0.301178514,3,4.3,0.263358521,0.265088495,0.001729974,6,94,0.013939888,0.023242512,0.009302624,3,178,805.624232
PctEmpFIRE_PctEmpTrade,0.511128465,0.30455329,3,12,0.206575175,0.511128465,0.30455329,3,12,-0.000445782,0,0.000445782,6,17,18.49496191
PctEmpFIRE_population_density_on_land_2010,0.50821175,0.301147433,3,10.1,0.254380315,0.255721256,0.001340941,6,267,0.011701745,0.019531368,0.007829623,3,414.4,724.3382686
PctEmpConstruction_bachelor_degree_density_2014_2018,0.501545514,0.373753198,5,16,0.156773586,0.333909978,0.177136391,6,18,0.00266078,0.010398085,0.007737305,5,39,219.7097811
PctEmpFIRE_bachelor_degree_density_2014_2018,0.497370378,0.312213066,3,16,0.290792815,0.293625523,0.002832708,6,29,0.007099222,0.013562546,0.006463323,3,39,619.4588137
PctEmpConstruction_PctEmpGovt,0.492902307,0.386508221,5,4,0.12226881,0.384837833,0.262569023,6,4,-0.000186503,0.004978313,0.005164815,6,15,76.65951961
PctEmpConstruction_PctEmpTrade,0.492713982,0.364583609,5,12,0.140166046,0.387840886,0.24767484,6,12,-0.000871039,0,0.000871039,10,16,22.0048126
avg_temp_for_county_household_density_on_land_2010,0.49195143,0.227757775,50,6.6,0.28366545,0.480621044,0.196955594,52,6.6,0.00495933,0.009621667,0.004662337,71,14.5,160.7906202
PctEmpGovt_povertyRate,0.485837734,0.288841503,4,12,0.270669639,0.374428244,0.103758605,5,15,0.007115565,0.008479368,0.001363803,15,19,246.1104494
PctEmpTrans_covid_death_density,0.482105371,0.299640631,4,0.002874389,0.18246474,0.482105371,0.299640631,4,0.002874389,-0.000241902,0,0.000241902,9,0.006880734,119.5052632
PctEmpConstruction_medianHouseHoldIncome,0.481386571,0.360899858,5,44500,0.128705767,0.442938243,0.314232476,5,46377,0.001241066,0.009968053,0.008726988,6,72385,96.39231589
PctEmpFIRE_PctEmpServices,0.476502229,0.299345992,3,39,0.235082573,0.294521449,0.059438876,4,45,0.008392288,0.016425549,0.00803326,3,55,78.74858827
PctEmpFIRE_medianHouseHoldIncome,0.476391932,0.301476085,3,44500,0.206868608,0.302678667,0.095810059,4,48056,0.008706855,0.019437993,0.010731138,3,72385,400.2040586
PctEmpConstruction_PctEmpServices,0.475280941,0.358349903,5,39,0.159103976,0.345925751,0.186821775,6,41,-0.000336666,0,0.000336666,10,55,48.60933762
PctEmpTrade_PctEmpManufacturing,0.462977138,0.248333198,12,6,0.21464394,0.462977138,0.248333198,12,6,-0.000615203,0,0.000615203,16,22,17.57902232
PctEmpConstruction_povertyRate,0.461370793,0.389497904,5,12,0.116994173,0.381594195,0.264600023,6,12,-0.003102032,0.011003125,0.014105158,5,27,39.89282411
PctEmpInformation_PctEmpServices,0.455515803,0.217343951,1,39,0.246284511,0.435708588,0.189424077,1,40,0.005787191,0.008553675,0.002766484,3,39,170.1347945
PctEmpInformation_medianHouseHoldIncome,0.452332363,0.218890532,1,44500,0.255022677,0.433086515,0.178063838,1,47141,0.005596592,0.008382762,0.00278617,3,44500,562.2234677
avg_precipitation_for_county_avg_temp_for_county,0.451151109,0.204728944,3,50,0.25407972,0.3329059,0.078826179,4,54,0.002669396,0.004448493,0.001779097,5,70,11.58241979
PctEmpInformation_PctEmpConstruction,0.45047645,0.316114583,1,5,0.134361867,0.45047645,0.316114583,1,5,-0.000140863,0,0.000140863,3,10,67.48188081
covid_cases_density_covid_death_density,0.450104151,0.249504807,0.222850507,0.002874389,0.206068495,0.442553478,0.236484983,0.223591378,0.002935501,0.015847048,0.024903398,0.009056351,0.324444444,0.002935501,500.7779082
PctEmpInformation_bachelor_degree_density_2014_2018,0.445723068,0.226686253,1,16,0.219036815,0.445723068,0.226686253,1,16,0.004564375,0.007449774,0.002885399,3,16,1772.954833
PctEmpTrans_covid_cases_density,0.444169751,0.299418416,4,0.222850507,0.148998457,0.441375213,0.292376756,4,0.223591378,-0.000312455,0,0.000312455,9,0.324444444,105.8038269
PctEmpInformation_PctEmpTrade,0.442612011,0.221124776,1,12,0.221487235,0.442612011,0.221124776,1,12,-5.37E-05,0,5.37E-05,3,17,68.16088094
PctEmpFIRE_PctEmpTrans,0.442528359,0.361633317,3,4,0.088500021,0.16617677,0.077676748,4,5,-0.003174578,0.00120961,0.004384188,5,8,4.613422851
avg_precipitation_for_county_PctEmpTrade,0.4416077,0.208912985,3,12,0.232694715,0.4416077,0.208912985,3,12,-0.000653262,0,0.000653262,5,17,10.49055232
PctEmpFIRE_PctEmpManufacturing,0.441230716,0.29655692,3,6,0.14996022,0.422184363,0.272224143,3,7,-0.002166661,0.002075242,0.004241903,5,19,7.992036639
PctEmpServices_household_density_on_land_2010,0.441157469,0.247891055,39,4.3,0.206390421,0.374636283,0.168245862,39,11.6,0.001324904,0.007977318,0.006652414,55,4.3,104.249098
PctEmpConstruction_covid_cases_density,0.440365489,0.360479435,5,0.222850507,0.110631753,0.318799959,0.208168206,6,0.230841498,-0.001120636,0.001484883,0.002605519,11,0.251371571,23.17584598
PctEmpInformation_PctEmpFIRE,0.440206502,0.264064906,1,3,0.198376125,0.316003952,0.117627827,1,4,0.003226964,0.006588141,0.003361177,3,3,643.3773519
PctEmpTrans_povertyRate,0.438833946,0.323521494,4,12,0.115863958,0.390581806,0.274717848,4,13,-0.000552787,0,0.000552787,8,28,124.2518074
PctEmpFIRE_covid_cases_density,0.438446421,0.301124887,3,0.222850507,0.137321535,0.438446421,0.301124887,3,0.222850507,0.002196526,0.002927715,0.000731189,7,0.308926554,34.49899477
PctEmpTrans_PctEmpGovt,0.437902787,0.321038229,4,4,0.116864558,0.437902787,0.321038229,4,4,-0.000604405,0,0.000604405,9,11,53.25601139
covid_cases_density_population_density_on_land_2010,0.436484717,0.24933844,0.222850507,10.1,0.204072054,0.360607048,0.156534994,0.23469695,12.5,-0.002641701,0.00220242,0.004844121,0.308926554,75,18.6165309
PctEmpConstruction_PctEmpAgriculture,0.435132391,0.350283835,5,2,0.137218041,0.256373562,0.11915552,7,2,0.00319558,0.014470091,0.01127451,5,24,43.96189905
covid_cases_density_household_density_on_land_2010,0.434985363,0.249364174,0.222850507,4.3,0.198941103,0.361067744,0.162126641,0.23469695,5.6,-0.002900422,0.002139827,0.005040249,0.308926554,34,19.88468053
PctEmpTrade_PctEmpServices,0.434934283,0.250668733,12,39,0.192785858,0.337296251,0.144510393,13,40,-0.001789595,0.000937079,0.002726674,14,55,114.524819
avg_temp_for_county_covid_cases_density,0.434714167,0.241296774,50,0.223591378,0.200459664,0.363240337,0.162780673,50,0.242424396,0.007879328,0.011895471,0.004016143,61,0.324444444,152.4850211
PctEmpConstruction_household_density_on_land_2010,0.4315218,0.360543632,5,4.3,0.105324662,0.350255,0.244930338,6,4.3,-0.001004341,0,0.001004341,11,38.1,4.880112984
PctEmpServices_population_density_on_land_2010,0.429843976,0.247865473,39,10.1,0.208564868,0.325320543,0.116755676,40,31,-0.000330962,0,0.000330962,54,409,105.2992068
PctEmpTrans_avg_temp_for_county,0.428944364,0.296762463,4,50,0.132181901,0.428944364,0.296762463,4,50,-5.82E-05,0.003191688,0.003249894,10,50,141.7033629
PctEmpFIRE_avg_temp_for_county,0.428752606,0.298453797,3,50,0.130298809,0.428752606,0.298453797,3,50,0.003576678,0.014508504,0.010931825,3,71,130.4434443
PctEmpGovt_PctEmpServices,0.428204997,0.265742956,4,39,0.179981041,0.22898887,0.04900783,6,45,-0.000323918,0.00490333,0.005227247,15,39,130.011836
PctEmpConstruction_PctEmpManufacturing,0.427509608,0.355011079,5,6,0.072498529,0.427509608,0.355011079,5,6,-0.002533872,0,0.002533872,8,22,14.27177857
UnempRate2018_PctEmpServices,0.426205036,0.185418986,4,39,0.24078605,0.426205036,0.185418986,4,39,0.004108732,0.004790269,0.000681537,6,55,57.37195601
PctEmpAgriculture_bachelor_degree_density_2014_2018,0.426119609,0.251189076,2,16,0.174930533,0.426119609,0.251189076,2,16,-0.006359578,0.013796455,0.020156033,3,30,9.483130587
PctEmpConstruction_population_density_on_land_2010,0.425291587,0.360506425,5,10.1,0.095453209,0.301089141,0.205635932,6,14,-0.002680147,0.003687213,0.00636736,6,414.4,3.164718978
PctEmpTrade_medianHouseHoldIncome,0.425157799,0.252452448,12,44500,0.18863643,0.409083531,0.220447101,12,45384,-0.000561148,0,0.000561148,17,62937,32.02084298
PctEmpServices_povertyRate,0.424356259,0.267798507,39,12,0.158322747,0.385723494,0.227400747,39,13,-0.000143463,0,0.000143463,55,30,362.3264674
PctEmpManufacturing_covid_cases_density,0.424067874,0.245537673,6,0.222850507,0.181160079,0.420923248,0.23976317,6,0.223591378,-0.002910437,0,0.002910437,14,0.315241272,64.42839457
PctEmpServices_bachelor_degree_density_2014_2018,0.42110093,0.256973266,39,16,0.311886624,0.322378069,0.010491444,48,27,0.012886536,0.01978268,0.006896144,55,16,960.5103105
PctEmpConstruction_covid_death_density,0.419677401,0.360746967,5,0.002874389,0.114599062,0.336120564,0.221521502,6,0.003077627,-0.002918899,0.000631199,0.003550097,7,0.006880734,33.88471197
PctEmpTrans_PctEmpManufacturing,0.419496511,0.294876336,4,6,0.124620175,0.419496511,0.294876336,4,6,-0.004473526,0.00178832,0.006261846,8,12,3.105511804
PctEmpTrans_PctEmpTrade,0.418930645,0.30282739,4,12,0.119282697,0.119859407,0.00057671,9,16,-0.000334926,0,0.000334926,8,17,207.8329949
PctEmpConstruction_avg_temp_for_county,0.414934387,0.357281848,5,50,0.129469482,0.280703125,0.151233642,6,57,-0.000184204,0.012902387,0.013086591,5,71,63.95765384
PctEmpTrans_medianHouseHoldIncome,0.411167891,0.299767624,4,44500,0.156003577,0.269535068,0.113531492,5,47449,0.001359614,0.002255845,0.000896232,9,63624,70.46325773
PctEmpTrans_population_density_on_land_2010,0.407995946,0.299440833,4,10.1,0.109686472,0.369559549,0.259873077,4,12.5,-0.002753407,0.001502075,0.004255482,7,129.6,29.71739824
avg_precipitation_for_county_PctEmpFIRE,0.406785718,0.249481712,3,3,0.157304006,0.406785718,0.249481712,3,3,0.012967027,0.014111397,0.00114437,5,7,12.33114971
UnempRate2018_PctEmpGovt,0.404603699,0.199988788,4,4,0.237981791,0.269584959,0.031603168,5,6,0.009797081,0.013730923,0.003933842,4,15,51.072136
PctEmpTrans_household_density_on_land_2010,0.404551198,0.299471739,4,4.3,0.105079459,0.404551198,0.299471739,4,4.3,-0.003389056,0,0.003389056,8,36.3,18.88865828
povertyRate_household_density_on_land_2010,0.404327288,0.269437903,12,4.3,0.145184539,0.337205312,0.192020773,14,4.6,-0.011120767,0.008325659,0.019446426,17,36.3,2.462012099
povertyRate_population_density_on_land_2010,0.401355733,0.269410097,12,10.1,0.140460361,0.33279648,0.192336119,14,10.1,-0.009099673,0.000637968,0.009737641,16,193,2.909368234
PctEmpTrade_covid_cases_density,0.400655891,0.252158359,12,0.222850507,0.155820655,0.297606807,0.141786151,13,0.230841498,-0.000327232,0,0.000327232,17,0.310303987,29.95795879
PctEmpGovt_covid_death_density,0.399089837,0.267520557,4,0.002874389,0.158519777,0.270541729,0.112021952,5,0.003464261,3.25E-05,0.001298853,0.001266358,15,0.004548855,222.1243249
PctEmpTrans_PctEmpAgriculture,0.393661461,0.290949832,4,2,0.145637129,0.253383311,0.107746182,5,3,-0.000542691,0,0.000542691,8,24,188.1560321
avg_temp_for_county_PctEmpManufacturing,0.392559756,0.243359662,50,6,0.175215164,0.368395217,0.193180052,52,7,-0.006356697,0.005102525,0.011459222,69,9,5.491990733
PctEmpTrade_bachelor_degree_density_2014_2018,0.391331325,0.261443466,12,16,0.146431574,0.293550284,0.147118711,13,17,-0.000590288,0,0.000590288,17,29,17.77014519
covid_death_density_population_density_on_land_2010,0.390918669,0.249523488,0.002874389,10.1,0.145706761,0.380757372,0.235050612,0.002995287,10.1,-0.007614322,0,0.007614322,0.005007935,82.4,2.531607447
PctEmpTrans_bachelor_degree_density_2014_2018,0.387730292,0.310443758,4,16,0.090397211,0.240091815,0.149694604,5,16,-0.004593783,0.002265132,0.006858915,5,35,13.04564363
PctEmpFIRE_PctEmpGovt,0.386844449,0.322867917,3,4,0.070439949,0.158142923,0.087702974,4,5,-0.001670563,0,0.001670563,6,11,32.79900425
PctEmpTrans_PctEmpServices,0.384456909,0.297649601,4,39,0.086807307,0.384456909,0.297649601,4,39,-0.000967389,0,0.000967389,10,47,25.46686763
UnempRate2018_covid_death_density,0.384398027,0.186659286,4,0.002874389,0.213152325,0.351024661,0.137872336,4,0.003337062,0.028274872,0.033674864,0.005399992,4,0.006880734,198.5938683
PctEmpManufacturing_medianHouseHoldIncome,0.38380505,0.245824041,6,44500,0.162922468,0.333580555,0.170658087,6,46169,-0.001661803,0,0.001661803,19,64177,28.1962541
PctEmpFIRE_covid_death_density,0.381758009,0.298777054,3,0.002903109,0.086741423,0.379243639,0.292502216,3,0.002935501,-0.003568978,0,0.003568978,7,0.004029322,35.05807506
PctEmpTrade_avg_temp_for_county,0.379893284,0.24992162,12,50,0.129971664,0.379893284,0.24992162,12,50,-0.000171845,0.004597964,0.00476981,17,50,129.684575
PctEmpGovt_avg_temp_for_county,0.37536302,0.264950915,4,50,0.112152604,0.273720647,0.161568043,5,50,-0.001971045,0,0.001971045,15,62,29.28784964
povertyRate_covid_cases_density,0.374232083,0.269389928,12,0.222850507,0.201687094,0.203487871,0.001800777,23,0.31192561,0.005594304,0.009236079,0.003641775,31,0.228311916,347.1324314
PctEmpFIRE_povertyRate,0.372854273,0.325365335,3,12,0.051011717,0.32729526,0.276283543,3,13,-0.007206406,0.017747175,0.024953581,6,12,4.638459017
