pattern,Pearson correlations,Bivariate Moran I,max_agreement,max_agreement_expected,threhsold1_max_agreement,threhsold2_max_agreement,threhsold1_max_agreement_area_coverage,threhsold2_max_agreement_area_coverage,lift_maxima,AUC_Agreement,AUC_Agreement_expected,CVT_correlation_maxima,CVT_correlation_maxima_t1,CVT_correlation_maxima_t2,CVT_correlation_value_coverage_maxima,CVT_correlation_AUC,ranks_corr,ranks_moran,ranks_maxima,ranks_AUC,ranks_maxima_corr,ranks_AUC_corr
population_density_on_land_2010_household_density_on_land_2010,0.988860872,0.622950108,1,0.000840542,267,111,0.028992106,0.028992106,1189.708215,0.382028231,0.01614731,0.988748861,34,21.3,0.498229804,0.988451161,190,190,190,190,190,190
PctEmpMining_covid_cases_density,0.05891578,0.034488712,0.174075338,0.094436815,2,0.224519137,0.196376065,0.480897786,1.843299553,0.043105583,0.012972512,0.732260609,6,0.310303987,0.010299324,0.366450794,130,121,11,51,189,184
covid_death_density_population_density_on_land_2010,-0.131303138,-0.106491459,0.390918669,0.249523488,0.002874389,10.1,0.499689882,0.499356694,1.566660807,0.037318578,0.024347538,0.692561855,0.005094216,289.8,0.010299324,0.04029367,49,38,107,39,188,116
PctEmpInformation_household_density_on_land_2010,0.19608776,0.123710901,0.370192988,0.218674477,1,4.3,0.437867185,0.499408232,1.69289527,0.097207577,0.020975913,0.678799956,3,97,0.014161571,0.472710557,164,151,94,134,187,188
PctEmpTrade_covid_cases_density,0.123423236,0.024227435,0.400655891,0.252158359,12,0.222850507,0.50500422,0.499319309,1.58890585,0.106791059,0.040192055,0.678121429,17,0.284221208,0.010943032,0.409110134,147,116,112,151,186,185
PctEmpInformation_population_density_on_land_2010,0.202712493,0.140034265,0.347504584,0.21865191,1,10.1,0.437867185,0.499356694,1.589305048,0.096800494,0.019628994,0.66743496,3,274,0.014161571,0.465851861,165,160,76,132,185,187
bachelor_degree_density_2014_2018_medianHouseHoldIncome,0.719251591,0.464703596,0.540590209,0.258801842,16,44500,0.517705507,0.499901659,2.088819013,0.183474819,0.03047205,0.663768483,16,51276,0.296749276,0.572802104,189,189,180,188,184,189
PctEmpFIRE_PctEmpMining,-0.160802255,-0.125800051,0.141726111,0.118428667,3,2,0.603070783,0.196376065,1.196721325,0.015108167,0.013444448,0.605699073,4,12,0.012552301,0.269378945,37,30,8,9,183,180
covid_death_density_household_density_on_land_2010,-0.120152703,-0.098566274,0.371372005,0.249549241,0.002874389,4.3,0.499689882,0.499408232,1.488171249,0.039967138,0.026018238,0.591969532,0.005126418,78.2,0.011908593,0.054879724,53,43,95,42,182,125
PctEmpServices_bachelor_degree_density_2014_2018,0.588769859,0.231969806,0.42110093,0.256973266,39,16,0.496369581,0.517705507,1.638695485,0.172042996,0.025560402,0.587530177,39,16,0.468619247,0.421470567,188,180,124,186,181,186
avg_temp_for_county_PctEmpAgriculture,-0.273816822,-0.256577184,0.210776409,0.240119142,50,2,0.494890161,0.48519684,0.877799276,0.022726303,0.028148125,0.583917772,61,3,0.012230447,0.074388677,16,9,21,19,180,135
PctEmpConstruction_population_density_on_land_2010,-0.108243723,-0.054309319,0.425291587,0.360506425,5,10.1,0.721941708,0.499356694,1.179705984,0.041554383,0.029853309,0.582335632,8,221,0.010943032,0.081568141,57,61,128,44,179,138
PctEmpTrade_PctEmpMining,-0.120808943,-0.09773269,0.120337749,0.099170741,12,2,0.50500422,0.196376065,1.213440051,0.025153394,0.012436694,0.571681118,13,17,0.010299324,0.320989814,52,44,5,23,178,183
PctEmpFIRE_covid_cases_density,-0.005915096,-0.048748171,0.438446421,0.301124887,3,0.222850507,0.603070783,0.499319309,1.456028514,0.0945305,0.043448844,0.561573658,6,0.286492361,0.011264886,0.148751774,102,64,143,131,177,161
covid_cases_density_household_density_on_land_2010,-0.14304034,-0.117846167,0.434985363,0.249364174,0.222850507,4.3,0.499319309,0.499408232,1.744377938,0.07311923,0.026896215,0.561113361,0.308926554,102,0.010621178,0.020651463,45,33,139,94,176,96
PctEmpAgriculture_medianHouseHoldIncome,-0.172281205,-0.103534009,0.345466179,0.242550706,2,44500,0.48519684,0.499901659,1.424304983,0.042730516,0.027398742,0.554971924,9,68166,0.01158674,-0.017067975,36,41,75,48,175,64
medianHouseHoldIncome_covid_death_density,-0.521928695,-0.366193527,0.217113893,0.249795801,44500,0.002874389,0.499901659,0.499689882,0.869165502,0.029144447,0.044398221,0.541427567,48846,0.003145906,0.010299324,0.019888964,3,3,25,29,174,95
PctEmpFIRE_PctEmpTrade,0.121717135,0.051069289,0.511128465,0.30455329,3,12,0.603070783,0.50500422,1.678289091,0.108682351,0.04165423,0.525156137,6,15,0.011264886,0.081838915,146,129,173,152,173,139
avg_temp_for_county_povertyRate,0.414712941,0.41140247,0.518783608,0.267000339,50,12,0.494890161,0.53951434,1.943007304,0.128405308,0.033625641,0.522864748,68,27,0.017380109,0.039230688,183,188,176,168,172,115
avg_precipitation_for_county_PctEmpServices,0.091986141,0.07495028,0.339616221,0.205340958,3,39,0.413685622,0.496369581,1.653913686,0.082883969,0.04329659,0.516945791,5,49,0.01577084,0.073206164,139,137,71,112,171,134
covid_cases_density_population_density_on_land_2010,-0.152017068,-0.122177819,0.436484717,0.24933844,0.222850507,10.1,0.499319309,0.499356694,1.750571302,0.073557669,0.025169138,0.515633707,0.308926554,41.8,0.010621178,0.025773786,42,32,141,96,170,99
PctEmpGovt_covid_death_density,0.053807396,0.050610276,0.399089837,0.267520557,4,0.002874389,0.535373171,0.499689882,1.491809983,0.08711028,0.024862844,0.511081461,12,0.003464261,0.010299324,0.08931736,128,128,111,118,169,141
PctEmpInformation_covid_cases_density,-0.07339302,-0.064681234,0.317409075,0.21863554,1,0.222850507,0.437867185,0.499319309,1.451772546,0.064690305,0.03269558,0.51068376,2,0.308926554,0.014805278,0.12868879,68,56,56,87,168,153
PctEmpGovt_household_density_on_land_2010,-0.024660009,-0.021642831,0.285280214,0.267369769,4,4.3,0.535373171,0.499408232,1.066987547,0.018480381,0.016489061,0.504532019,7,153,0.018023817,0.142858482,90,86,46,16,167,159
PctEmpServices_covid_cases_density,-0.058944949,-0.09360995,0.366186147,0.247846916,39,0.222850507,0.496369581,0.499319309,1.477469045,0.118693743,0.038498592,0.500321116,53,0.264616011,0.012230447,0.119279376,73,46,89,160,166,151
PctEmpInformation_medianHouseHoldIncome,0.30884798,0.223962294,0.452332363,0.218890532,1,44500,0.437867185,0.499901659,2.066477513,0.123168065,0.035793862,0.4980439,1,64177,0.090119086,0.256620142,178,179,157,163,165,178
UnempRate2018_PctEmpServices,0.097238552,0.136298887,0.426205036,0.185418986,4,39,0.373550261,0.496369581,2.298605148,0.142759919,0.035561515,0.495024333,6,49,0.011908593,0.032596141,141,157,130,173,164,109
PctEmpServices_covid_death_density,-0.257031436,-0.160618028,0.337941438,0.248030857,39,0.002874389,0.496369581,0.499689882,1.362497562,0.089403747,0.037241878,0.493060873,48,0.005286265,0.010943032,0.058914604,18,19,68,122,163,127
avg_temp_for_county_PctEmpServices,0.044673338,0.038488394,0.36915244,0.245648422,50,39,0.494890161,0.496369581,1.502767399,0.085506121,0.043299534,0.489554197,67,49,0.042484712,0.038325938,126,123,93,114,162,113
PctEmpInformation_PctEmpFIRE,0.264066943,0.15562375,0.440206502,0.264064906,1,3,0.437867185,0.603070783,1.66703902,0.111498581,0.033885036,0.48146546,3,6,0.012552301,0.197328056,174,167,145,154,161,170
PctEmpFIRE_bachelor_degree_density_2014_2018,0.526225293,0.271232296,0.497370378,0.312213066,3,16,0.603070783,0.517705507,1.59304793,0.166233723,0.028847027,0.481066644,3,37,0.472803347,0.277098333,186,181,170,183,160,181
PctEmpAgriculture_povertyRate,0.005966325,-0.017144726,0.348331756,0.261770653,2,12,0.48519684,0.53951434,1.330675353,0.047036267,0.01784777,0.477763918,7,27,0.015448986,0.089372037,106,89,78,60,159,142
UnempRate2018_PctEmpFIRE,-0.220972792,-0.139644754,0.297601989,0.225277248,4,3,0.373550261,0.603070783,1.321047692,0.063311604,0.040134111,0.476183012,6,4,0.011908593,-0.002242449,24,27,51,84,158,72
PctEmpGovt_PctEmpServices,0.006295267,0.086238475,0.428204997,0.265742956,4,39,0.535373171,0.496369581,1.611350315,0.078278801,0.023602044,0.467757149,7,51,0.020920502,0.129633077,107,141,132,105,157,154
PctEmpFIRE_medianHouseHoldIncome,0.492366407,0.311773057,0.476391932,0.301476085,3,44500,0.603070783,0.499901659,1.580198083,0.169358948,0.047566123,0.461553032,3,61124,0.45059543,0.282665841,185,183,162,184,156,182
PctEmpTrans_PctEmpGovt,0.007293546,0.015218078,0.437902787,0.321038229,4,4,0.599653188,0.535373171,1.364020692,0.048791021,0.020822811,0.46063492,7,15,0.012552301,0.176199744,109,112,142,63,155,167
PctEmpMining_avg_temp_for_county,0.09855863,0.100398133,0.183706232,0.069417428,2,55,0.196376065,0.353492306,2.646399294,0.045849729,0.01459024,0.459989265,3,66,0.020920502,0.021185807,142,146,13,59,154,97
PctEmpGovt_bachelor_degree_density_2014_2018,-0.103319848,-0.02415265,0.367403339,0.277165639,4,16,0.535373171,0.517705507,1.325573185,0.033834311,0.017064239,0.459307411,5,39,0.017701963,0.161189713,62,81,91,32,153,165
PctEmpGovt_povertyRate,0.276901431,0.203220038,0.485837734,0.288841503,4,12,0.535373171,0.53951434,1.682021899,0.104551956,0.018328924,0.453494269,10,26,0.012874155,0.152838129,176,176,166,145,152,164
PctEmpInformation_bachelor_degree_density_2014_2018,0.369502857,0.212323027,0.445723068,0.226686253,1,16,0.437867185,0.517705507,1.966255394,0.116777875,0.021707603,0.45295987,1,25,0.219826199,0.25040479,181,178,153,157,151,177
avg_precipitation_for_county_povertyRate,0.185810895,0.184345084,0.35418252,0.223189325,3,12,0.413685622,0.53951434,1.586915142,0.105411454,0.033623355,0.451560229,3,26,0.039909881,0.152340926,159,174,81,148,150,163
PctEmpGovt_medianHouseHoldIncome,-0.11527334,-0.07143736,0.302636575,0.267633937,4,44500,0.535373171,0.499901659,1.130785499,0.05299689,0.028137377,0.441262797,5,69318,0.030576118,0.172887343,55,52,53,72,149,166
PctEmpConstruction_household_density_on_land_2010,-0.104325134,-0.048538526,0.4315218,0.360543632,5,4.3,0.721941708,0.499408232,1.196864296,0.045828189,0.031901809,0.439483183,8,75,0.012874155,0.055527315,61,65,136,58,148,126
avg_precipitation_for_county_avg_temp_for_county,0.325187525,0.327817113,0.451151109,0.204728944,3,50,0.413685622,0.494890161,2.203650837,0.182569147,0.053028159,0.432591253,3,68,0.015448986,-0.063616414,180,184,156,187,147,43
bachelor_degree_density_2014_2018_covid_cases_density,-0.201728611,-0.161528954,0.332490929,0.258500357,16,0.222850507,0.517705507,0.499319309,1.286230061,0.06497732,0.027834419,0.418242203,36,0.227399467,0.010943032,0.107804692,29,18,60,89,146,148
avg_temp_for_county_covid_cases_density,0.114509782,0.099237071,0.434714167,0.241296774,50,0.223591378,0.494890161,0.487576423,1.801574711,0.124797609,0.047151738,0.417032166,68,0.250821648,0.024782749,0.071525609,145,144,137,164,145,132
PctEmpMining_medianHouseHoldIncome,-0.045289836,-0.061968819,0.246419513,0.000633754,17,67525,0.018227469,0.034769153,388.8253906,0.118729021,0.014201807,0.40018231,6,53596,0.038300612,0.210769938,79,58,35,161,144,173
povertyRate_covid_cases_density,0.188891912,0.140422442,0.374232083,0.269389928,12,0.222850507,0.53951434,0.499319309,1.389183648,0.126661311,0.029897316,0.398779553,28,0.304980167,0.012874155,0.216270734,162,162,98,165,143,175
PctEmpFIRE_PctEmpManufacturing,-0.182298953,-0.065758727,0.441230716,0.29655692,3,6,0.603070783,0.491744798,1.487844949,0.055325043,0.032734117,0.3964304,6,22,0.010621178,-0.161468732,34,55,148,74,142,4
UnempRate2018_PctEmpTrade,0.009367117,0.028473066,0.320104003,0.188644458,4,12,0.373550261,0.50500422,1.696864072,0.093042322,0.037125783,0.392855028,6,17,0.010621178,0.087247027,110,118,57,128,141,140
PctEmpFIRE_povertyRate,-0.352904859,-0.2266242,0.372854273,0.325365335,3,12,0.603070783,0.53951434,1.145955739,0.037141683,0.030984972,0.389099917,4,28,0.010299324,-0.02833027,10,14,97,37,140,59
avg_temp_for_county_household_density_on_land_2010,0.024413615,0.015827088,0.49195143,0.227757775,50,6.6,0.494890161,0.460218838,2.159976453,0.105437362,0.03025029,0.387853343,66,118.7,0.061152237,0.044430052,119,113,167,149,139,121
PctEmpGovt_PctEmpMining,0.040636093,0.073696098,0.215636223,0.105134476,4,2,0.535373171,0.196376065,2.051051478,0.057451692,0.007952961,0.381630055,6,14,0.012230447,0.069673048,124,135,24,75,138,131
PctEmpTrade_PctEmpServices,-0.022297337,0.026766256,0.434934283,0.250668733,12,39,0.50500422,0.496369581,1.735095867,0.093891264,0.036908443,0.379761464,16,43,0.016092694,-0.029634337,92,117,138,130,137,58
UnempRate2018_povertyRate,0.557541311,0.398853639,0.536415183,0.171133792,4,13,0.373550261,0.458127887,3.134478459,0.19829131,0.027616435,0.375442963,4,21,0.139040875,0.211665698,187,187,178,189,136,174
PctEmpServices_medianHouseHoldIncome,0.219044833,0.16790899,0.336614141,0.248135977,39,44500,0.496369581,0.499901659,1.356571285,0.117279796,0.042146777,0.365793399,39,70829,0.066623753,0.188790597,169,173,67,158,135,168
PctEmpFIRE_household_density_on_land_2010,0.220638848,0.138417994,0.512961497,0.301178514,3,4.3,0.603070783,0.499408232,1.703180917,0.15986086,0.027874691,0.364679876,7,86,0.046346958,0.260940142,170,159,174,179,134,179
avg_temp_for_county_population_density_on_land_2010,0.026512477,0.017414446,0.514726383,0.247126715,50,10.1,0.494890161,0.499356694,2.082843951,0.10405458,0.028307839,0.359138211,66,316,0.06308336,0.018818879,120,114,175,142,133,94
PctEmpConstruction_bachelor_degree_density_2014_2018,-0.15714205,0.001432585,0.501545514,0.373753198,5,16,0.721941708,0.517705507,1.341916314,0.07818326,0.03301462,0.357555598,8,35,0.011908593,0.095002232,40,107,171,104,132,144
avg_temp_for_county_PctEmpManufacturing,0.016042117,0.013892815,0.392559756,0.243359662,50,6,0.494890161,0.491744798,1.613084731,0.076828687,0.035523856,0.35615093,66,15,0.012552301,-0.130054537,114,111,109,103,131,16
PctEmpFIRE_avg_temp_for_county,-0.009475004,-0.016173277,0.428752606,0.298453797,3,50,0.603070783,0.494890161,1.4365795,0.092430033,0.048867104,0.355535853,5,65,0.030576118,0.092249656,101,91,133,126,130,143
PctEmpGovt_population_density_on_land_2010,-0.026942545,-0.023220378,0.274639731,0.267342177,4,10.1,0.535373171,0.499356694,1.02729668,0.018307521,0.015430255,0.349222162,7,393,0.017058256,0.1175089,86,83,40,15,129,150
PctEmpMining_covid_death_density,0.104224013,0.104649521,0.209009755,0.053973344,2,0.003739146,0.196376065,0.274846857,3.87246258,0.048922149,0.012549048,0.345719329,11,0.003411346,0.012552301,-0.092896925,143,147,19,64,128,24
PctEmpAgriculture_covid_death_density,0.060582033,0.03560333,0.342321269,0.242447952,2,0.002874389,0.48519684,0.499689882,1.411937142,0.073579128,0.024210169,0.345509425,12,0.006290116,0.01158674,0.065039043,131,122,73,97,127,130
PctEmpAgriculture_bachelor_degree_density_2014_2018,-0.185284959,-0.063685958,0.426119609,0.251189076,2,16,0.48519684,0.517705507,1.696409793,0.037003177,0.016616285,0.345403183,12,31,0.012552301,-0.030447446,30,57,129,36,126,57
povertyRate_population_density_on_land_2010,-0.018976869,-0.043463907,0.401355733,0.269410097,12,10.1,0.53951434,0.499356694,1.489757573,0.027174425,0.017949039,0.336208733,24,168,0.010943032,0.028162575,93,68,113,25,125,105
PctEmpInformation_PctEmpTrade,0.00093433,0.012827284,0.442612011,0.221124776,1,12,0.437867185,0.50500422,2.001639158,0.080855697,0.031345119,0.332763754,2,15,0.020920502,0.043588548,105,110,151,109,124,119
PctEmpFIRE_population_density_on_land_2010,0.228857404,0.158500139,0.50821175,0.301147433,3,10.1,0.603070783,0.499356694,1.687584537,0.157778732,0.026084784,0.328478044,7,261,0.042484712,0.245929551,171,169,172,178,123,176
PctEmpGovt_avg_temp_for_county,0.157731948,0.158282617,0.37536302,0.264950915,4,50,0.535373171,0.494890161,1.416726641,0.064576251,0.028906963,0.328422322,11,68,0.016092694,0.037062717,152,168,99,86,122,112
PctEmpGovt_covid_cases_density,0.000393451,-0.042025159,0.357560058,0.267322162,4,0.222850507,0.535373171,0.499319309,1.337562344,0.089601515,0.025701832,0.327886539,8,0.324444444,0.012230447,0.196234503,104,69,84,123,121,169
PctEmpMining_PctEmpServices,-0.21614566,-0.112421422,0.122360851,0.097475105,2,39,0.196376065,0.496369581,1.255303614,0.013716369,0.011912683,0.324962054,3,55,0.010621178,-0.091530415,26,36,6,8,120,26
UnempRate2018_avg_temp_for_county,0.20966539,0.209413844,0.33550902,0.184866349,4,50,0.373550261,0.494890161,1.81487341,0.103848298,0.043554508,0.306789819,6,65,0.010621178,0.128675024,166,177,64,141,119,152
PctEmpTrans_population_density_on_land_2010,-0.030659041,-0.006547356,0.407995946,0.299440833,4,10.1,0.599653188,0.499356694,1.362526084,0.036625833,0.020391239,0.30641966,8,126,0.011264886,0.025795626,85,100,118,35,118,100
povertyRate_household_density_on_land_2010,-0.015930947,-0.03367932,0.404327288,0.269437903,12,4.3,0.53951434,0.499408232,1.500632553,0.027724453,0.019180682,0.300331021,24,99.3,0.010621178,0.017103359,98,74,114,26,117,91
PctEmpTrans_PctEmpMining,0.169215417,0.127964125,0.243772482,0.117757533,4,2,0.599653188,0.196376065,2.070122189,0.079715298,0.010509918,0.294558351,7,11,0.017058256,0.144802516,155,153,34,107,116,160
PctEmpConstruction_PctEmpGovt,0.020961,0.05291623,0.492902307,0.386508221,5,4,0.721941708,0.535373171,1.275269915,0.057899101,0.030485143,0.294114318,9,12,0.030576118,0.076515462,116,130,169,76,115,137
PctEmpTrans_medianHouseHoldIncome,-0.123773827,-0.095756211,0.411167891,0.299767624,4,44500,0.599653188,0.499901659,1.371622078,0.097314373,0.03718383,0.293937295,6,65504,0.01577084,0.000961095,51,45,119,136,114,76
PctEmpConstruction_PctEmpMining,0.062164784,0.076391977,0.21165473,0.141772071,5,2,0.721941708,0.196376065,1.492922607,0.048124775,0.015386797,0.287948263,8,15,0.010943032,0.012309204,133,139,22,62,113,86
PctEmpTrade_avg_temp_for_county,0.081055884,0.074788037,0.379893284,0.24992162,12,50,0.50500422,0.494890161,1.520049701,0.102173988,0.045204179,0.284216401,13,68,0.024139041,0.036107919,137,136,100,140,112,111
UnempRate2018_PctEmpMining,0.021865987,0.019705051,0.145437924,0.07335633,4,2,0.373550261,0.196376065,1.98262269,0.026592042,0.011982832,0.282973872,5,6,0.010299324,-0.001344995,118,115,9,24,111,74
medianHouseHoldIncome_covid_cases_density,-0.150047235,-0.139777574,0.363858646,0.249610551,44500,0.222850507,0.499901659,0.499319309,1.45770539,0.106737128,0.045896424,0.274974733,66813,0.291992188,0.010621178,0.005200865,43,26,88,150,110,81
PctEmpTrans_household_density_on_land_2010,-0.036095917,-0.003686306,0.404551198,0.299471739,4,4.3,0.599653188,0.499408232,1.350882723,0.036047309,0.021790462,0.270410183,8,64,0.010621178,0.026863532,83,103,115,33,109,102
PctEmpServices_population_density_on_land_2010,0.186957654,0.123878733,0.429843976,0.247865473,39,10.1,0.496369581,0.499356694,1.734182542,0.104165024,0.023112869,0.269615637,40,230.8,0.091406501,0.152299249,160,152,135,144,108,162
bachelor_degree_density_2014_2018_covid_death_density,-0.529288746,-0.327644216,0.230234036,0.258692204,16,0.002874389,0.517705507,0.499689882,0.88999217,0.021632758,0.026925816,0.266913885,17,0.006880734,0.011908593,-0.131418419,2,5,27,18,107,14
bachelor_degree_density_2014_2018_population_density_on_land_2010,0.230702323,0.158901303,0.293253669,0.258519711,16,10.1,0.517705507,0.499356694,1.134357097,0.134805778,0.016710566,0.266699937,37,362,0.037013196,0.202018784,172,170,49,170,106,171
PctEmpTrans_avg_temp_for_county,0.131674485,0.131091005,0.428944364,0.296762463,4,50,0.599653188,0.494890161,1.445413143,0.080287931,0.038200845,0.265701405,9,64,0.012552301,0.047908371,148,155,134,108,105,122
avg_precipitation_for_county_PctEmpGovt,-0.1354172,-0.125502595,0.233937806,0.221476183,3,4,0.413685622,0.535373171,1.056266199,0.030284463,0.028904998,0.265183651,4,10,0.013196009,0.014811414,48,31,30,30,104,90
PctEmpFIRE_covid_death_density,-0.234205183,-0.153428529,0.381758009,0.298777054,3,0.002903109,0.603070783,0.495426179,1.277735369,0.064218597,0.042030539,0.26247734,5,0.005472455,0.010943032,0.004305898,23,21,101,85,103,80
PctEmpTrade_povertyRate,-0.041960992,0.008941272,0.35624556,0.272457019,12,12,0.50500422,0.53951434,1.30752939,0.052342037,0.028662435,0.259044711,16,21,0.012230447,0.108192235,80,108,82,70,102,149
PctEmpInformation_povertyRate,-0.215747152,-0.159729665,0.290943875,0.236235625,1,12,0.437867185,0.53951434,1.2315834,0.0311051,0.023316422,0.258673524,2,22,0.01158674,0.096410815,27,20,48,31,101,145
bachelor_degree_density_2014_2018_household_density_on_land_2010,0.218920457,0.138364182,0.302958543,0.258095853,16,4.6,0.517705507,0.498537971,1.173821815,0.13582905,0.017857226,0.257062256,37,142,0.037656904,0.203501116,168,158,54,171,100,172
PctEmpFIRE_PctEmpTrans,-0.137809387,-0.049278655,0.442528359,0.361633317,3,4,0.603070783,0.599653188,1.223693553,0.052670561,0.035200879,0.256290599,5,7,0.010943032,-0.003072201,47,63,150,71,99,71
PctEmpMining_povertyRate,0.074111566,0.090761824,0.175619149,0.105947703,2,12,0.196376065,0.53951434,1.657602233,0.024745559,0.009251176,0.253307809,7,19,0.013839717,-0.073861866,135,142,12,22,98,39
